age,job,marital,education,default,housing,loan,balance,duration,campaign,previous,term_deposit,date
59,retired,divorced,primary,0,1,0,81,107,1,0,0,may 5
44,blue-collar,married,secondary,0,1,0,144,247,2,0,0,may 5
41,admin.,married,secondary,0,1,0,351,518,1,0,0,may 5
33,management,single,tertiary,0,1,0,-67,364,1,0,0,may 5
59,management,divorced,tertiary,0,0,0,262,178,1,0,0,may 5
57,technician,married,primary,0,0,0,0,98,1,0,0,may 5
51,blue-collar,married,secondary,0,1,0,26,79,1,0,0,may 5
43,services,married,secondary,0,1,1,41,127,2,0,0,may 5
52,technician,married,tertiary,0,0,1,7,175,1,0,0,may 5
33,technician,single,secondary,0,1,0,105,262,2,0,0,may 5
29,admin.,single,secondary,0,1,1,818,61,1,0,0,may 5
34,services,married,secondary,0,1,1,-16,78,1,0,0,may 5
31,blue-collar,married,secondary,0,1,0,0,143,1,0,0,may 5
55,services,married,secondary,0,1,0,2476,579,1,0,1,may 5
32,admin.,single,secondary,0,1,0,217,345,1,0,0,may 5
38,technician,single,secondary,0,1,0,1685,185,1,0,0,may 5
55,admin.,single,secondary,0,1,1,802,100,2,0,0,may 5
28,unemployed,single,tertiary,0,1,0,0,125,2,0,0,may 5
23,blue-collar,married,secondary,0,1,0,94,193,1,0,0,may 5
32,technician,single,secondary,0,1,0,0,136,1,0,0,may 5
32,blue-collar,married,secondary,0,1,0,517,528,1,0,0,may 5
46,blue-collar,married,secondary,0,1,0,265,541,1,0,0,may 5
53,housemaid,divorced,primary,0,1,0,947,163,1,0,0,may 5
34,self-employed,single,secondary,0,1,0,3,301,1,0,0,may 5
57,unemployed,married,tertiary,0,0,0,42,46,1,0,0,may 5
37,blue-collar,married,secondary,0,1,0,37,204,1,0,0,may 5
59,blue-collar,married,secondary,0,1,0,57,98,1,0,0,may 5
33,services,married,secondary,0,1,0,22,71,1,0,0,may 5
56,blue-collar,divorced,primary,0,1,0,8,157,2,0,0,may 5
48,unemployed,married,secondary,0,1,0,293,243,1,0,0,may 5
43,services,married,primary,0,1,0,3,186,2,0,0,may 5
54,blue-collar,married,primary,0,1,0,348,579,2,0,0,may 5
26,student,single,secondary,0,1,0,0,610,2,0,0,may 5
40,management,married,tertiary,0,1,0,-4,2033,1,0,0,may 5
39,management,married,secondary,0,1,0,18,85,1,0,0,may 5
50,technician,married,primary,0,0,0,139,114,2,0,0,may 5
41,services,married,secondary,0,1,0,0,114,2,0,0,may 5
60,retired,divorced,secondary,0,1,0,216,238,1,0,0,may 5
52,blue-collar,married,secondary,0,1,0,782,93,3,0,0,may 5
48,blue-collar,married,secondary,0,1,0,904,128,2,0,0,may 5
39,technician,single,tertiary,0,1,0,47,181,1,0,0,may 5
47,services,single,secondary,0,1,0,176,303,2,0,0,may 5
40,blue-collar,married,secondary,0,1,0,1225,558,5,0,0,may 5
45,technician,married,secondary,0,1,0,86,270,1,0,0,may 5
26,admin.,single,secondary,0,1,0,82,228,1,0,0,may 5
52,management,married,tertiary,0,1,0,271,99,1,0,0,may 5
54,technician,married,secondary,0,1,0,1378,240,1,0,0,may 5
54,admin.,married,tertiary,0,0,0,184,673,2,0,1,may 5
50,blue-collar,married,primary,0,0,0,0,233,3,0,0,may 5
35,blue-collar,married,secondary,0,1,0,0,1056,1,0,0,may 5
44,services,married,secondary,0,1,1,1357,250,1,0,0,may 5
35,retired,single,primary,0,0,0,434,138,1,0,0,may 5
60,admin.,divorced,secondary,0,1,0,92,130,1,0,0,may 5
53,admin.,divorced,secondary,0,1,0,1151,412,1,0,0,may 5
48,unemployed,married,secondary,0,1,0,41,179,2,0,0,may 5
34,technician,married,secondary,0,1,0,51,19,2,0,0,may 5
54,services,married,secondary,0,1,0,214,458,2,0,0,may 5
51,management,married,secondary,0,1,0,1161,717,1,0,0,may 5
31,services,married,tertiary,0,1,0,37,313,1,0,0,may 5
35,technician,divorced,secondary,0,1,0,787,683,2,0,0,may 5
35,services,married,secondary,0,1,0,59,1077,1,0,0,may 5
38,technician,married,secondary,0,1,0,253,416,1,0,0,may 5
36,admin.,married,tertiary,0,1,0,211,146,2,0,0,may 5
58,retired,married,primary,0,1,0,235,167,1,0,0,may 5
54,management,married,secondary,0,0,0,4080,140,1,0,0,may 5
34,blue-collar,single,secondary,0,1,1,53,346,1,0,0,may 5
31,management,single,tertiary,0,1,0,0,562,1,0,0,may 5
51,retired,married,secondary,0,1,0,2127,172,1,0,0,may 5
33,management,married,tertiary,0,1,0,377,217,1,0,0,may 5
55,management,married,tertiary,0,1,0,73,142,2,0,0,may 5
42,admin.,married,secondary,0,1,0,445,67,1,0,0,may 5
34,blue-collar,married,secondary,0,1,0,243,291,1,0,0,may 5
33,blue-collar,single,secondary,0,1,0,307,309,2,0,0,may 5
38,services,married,secondary,0,1,0,155,248,1,0,0,may 5
50,technician,divorced,tertiary,0,0,1,173,98,1,0,0,may 5
43,management,married,tertiary,0,1,0,400,256,1,0,0,may 5
61,blue-collar,divorced,primary,0,1,0,1428,82,2,0,0,may 5
47,admin.,married,secondary,0,1,0,219,577,1,0,0,may 5
48,self-employed,married,tertiary,0,1,0,7,286,1,0,0,may 5
44,blue-collar,married,secondary,0,1,0,575,477,1,0,0,may 5
35,services,married,secondary,0,1,0,0,471,1,0,0,may 5
50,services,married,secondary,0,1,0,5699,381,2,0,0,may 5
41,management,married,tertiary,0,1,1,176,42,1,0,0,may 5
41,management,married,tertiary,0,1,0,517,251,1,0,0,may 5
42,retired,married,secondary,0,1,0,56,215,1,0,0,may 5
38,blue-collar,married,secondary,0,1,0,-390,287,1,0,0,may 5
53,retired,married,secondary,0,1,0,330,216,2,0,0,may 5
59,housemaid,divorced,primary,0,0,0,195,366,2,0,0,may 5
36,services,married,secondary,0,1,0,301,210,1,0,0,may 5
54,blue-collar,married,primary,0,1,0,-41,288,1,0,0,may 5
40,technician,married,tertiary,0,1,0,483,168,1,0,0,may 5
46,housemaid,married,primary,0,0,0,965,177,1,0,0,may 5
39,management,married,tertiary,0,1,1,378,127,2,0,0,may 5
40,unemployed,married,secondary,0,1,0,219,357,1,0,0,may 5
28,blue-collar,married,primary,0,1,0,324,175,1,0,0,may 5
35,entrepreneur,divorced,secondary,0,1,0,-69,300,1,0,0,may 5
55,retired,married,secondary,0,0,1,0,136,1,0,0,may 5
48,blue-collar,married,primary,0,1,0,278,125,2,0,0,may 5
33,management,single,tertiary,0,1,0,34,27,1,0,0,may 5
53,services,divorced,secondary,0,1,0,1467,124,1,0,0,may 5
47,blue-collar,married,primary,0,1,0,-12,18,1,0,0,may 5
31,services,married,secondary,0,1,0,388,730,2,0,0,may 5
57,entrepreneur,married,secondary,0,1,0,294,746,2,0,0,may 5
55,blue-collar,married,primary,0,1,0,627,247,1,0,0,may 5
45,blue-collar,married,primary,0,1,0,25,40,1,0,0,may 5
53,admin.,divorced,secondary,0,1,0,315,181,2,0,0,may 5
37,blue-collar,married,primary,0,1,0,0,79,1,0,0,may 5
44,admin.,divorced,secondary,0,1,0,66,206,1,0,0,may 5
49,blue-collar,divorced,primary,0,1,1,-9,389,1,0,0,may 5
46,technician,married,secondary,0,1,1,349,127,1,0,0,may 5
38,admin.,married,secondary,0,0,0,0,151,1,0,0,may 5
43,technician,married,secondary,0,1,0,434,117,1,0,0,may 5
49,management,married,tertiary,0,1,0,3237,232,3,0,0,may 5
22,blue-collar,single,secondary,0,1,0,0,179,2,0,0,may 5
40,management,married,tertiary,0,1,0,207,39,1,0,0,may 5
39,blue-collar,married,secondary,0,1,0,483,282,1,0,0,may 5
51,services,married,secondary,0,1,0,2248,714,2,0,0,may 5
49,admin.,married,secondary,0,1,0,428,50,1,0,0,may 5
53,blue-collar,married,secondary,0,1,1,0,181,1,0,0,may 5
34,services,single,secondary,0,1,0,0,142,1,0,0,may 5
33,technician,divorced,secondary,0,1,0,140,227,1,0,0,may 5
50,management,single,tertiary,0,1,0,297,119,1,0,0,may 5
39,blue-collar,married,primary,0,1,0,279,361,1,0,0,may 5
59,entrepreneur,divorced,secondary,0,1,0,901,73,3,0,0,may 5
30,technician,single,secondary,0,1,0,2573,67,2,0,0,may 5
36,services,married,secondary,0,1,1,143,350,1,0,0,may 5
40,blue-collar,married,secondary,0,1,0,475,332,2,0,0,may 5
53,blue-collar,married,secondary,0,1,0,70,611,2,0,0,may 5
34,management,single,tertiary,0,1,0,318,113,2,0,0,may 5
37,technician,married,secondary,0,1,0,275,132,1,0,0,may 5
42,management,divorced,tertiary,0,1,0,742,58,3,0,0,may 5
41,entrepreneur,married,primary,0,1,0,236,151,1,0,0,may 5
30,student,single,tertiary,0,1,0,25,89,2,0,0,may 5
37,management,single,tertiary,0,1,0,600,152,1,0,0,may 5
39,admin.,divorced,secondary,0,1,0,-349,611,2,0,0,may 5
41,blue-collar,married,primary,0,1,1,183,110,2,0,0,may 5
40,blue-collar,married,primary,0,1,0,0,463,1,0,0,may 5
42,management,single,tertiary,0,1,1,0,562,2,0,1,may 5
40,blue-collar,divorced,primary,0,1,0,0,962,1,0,0,may 5
57,technician,married,secondary,0,1,0,1078,10,4,0,0,may 5
56,entrepreneur,divorced,secondary,0,0,0,155,118,3,0,0,may 5
37,admin.,married,secondary,0,1,0,190,92,2,0,0,may 5
59,retired,married,secondary,0,1,0,319,143,3,0,0,may 5
39,services,divorced,secondary,0,1,0,-185,189,3,0,0,may 5
49,services,married,secondary,0,0,0,47,234,2,0,0,may 5
38,services,single,secondary,0,1,0,570,75,2,0,0,may 5
36,self-employed,married,tertiary,0,0,0,19,189,2,0,0,may 5
50,blue-collar,married,primary,0,1,0,61,621,3,0,0,may 5
41,admin.,married,secondary,0,1,1,-62,55,2,0,0,may 5
54,technician,married,tertiary,0,0,0,258,310,4,0,0,may 5
58,blue-collar,married,primary,0,1,0,76,156,2,0,0,may 5
30,blue-collar,single,secondary,0,1,0,0,5,2,0,0,may 5
33,admin.,single,secondary,0,1,0,352,225,2,0,0,may 5
47,admin.,married,secondary,0,1,0,368,125,2,0,0,may 5
50,technician,single,tertiary,0,1,0,339,2,3,0,0,may 5
32,blue-collar,married,secondary,0,1,0,1331,286,2,0,0,may 5
40,self-employed,married,secondary,0,1,0,672,164,2,0,0,may 5
37,management,married,tertiary,0,1,0,58,98,2,0,0,may 5
24,student,single,secondary,0,1,0,423,226,3,0,0,may 5
54,management,married,tertiary,0,0,0,0,120,2,0,0,may 5
34,technician,married,secondary,0,1,0,19,362,4,0,0,may 5
56,technician,divorced,primary,0,1,0,13,357,2,0,0,may 5
31,blue-collar,single,secondary,0,1,0,3,200,2,0,0,may 5
24,student,single,secondary,0,1,0,82,204,2,0,0,may 5
42,blue-collar,divorced,primary,0,1,0,28,126,3,0,0,may 5
57,technician,married,secondary,0,1,0,792,65,2,0,0,may 5
51,admin.,married,secondary,0,1,0,531,267,2,0,0,may 5
57,retired,married,secondary,0,1,0,211,248,2,0,0,may 5
36,services,single,secondary,0,1,0,62,215,2,0,0,may 5
50,technician,married,secondary,0,1,0,1234,205,2,0,0,may 5
54,management,married,tertiary,0,1,0,313,83,2,0,0,may 5
55,blue-collar,married,secondary,0,1,0,89,106,3,0,0,may 5
44,blue-collar,married,secondary,0,1,1,129,189,2,0,0,may 5
56,admin.,married,secondary,0,1,0,353,106,2,0,0,may 5
55,services,divorced,primary,0,1,1,96,311,2,0,0,may 5
37,services,divorced,secondary,0,1,1,398,214,2,0,0,may 5
33,admin.,single,tertiary,0,0,0,193,132,2,0,0,may 5
46,admin.,married,secondary,0,1,0,-358,358,2,0,0,may 5
36,blue-collar,married,secondary,0,1,1,539,453,2,0,0,may 5
51,technician,single,secondary,0,1,0,0,364,2,0,0,may 5
40,retired,single,primary,0,0,0,0,136,2,0,0,may 5
42,blue-collar,married,secondary,0,1,0,490,386,2,0,0,may 5
51,blue-collar,married,secondary,0,1,0,0,173,2,0,0,may 5
48,management,married,secondary,0,1,0,161,224,3,0,0,may 5
32,technician,divorced,tertiary,0,0,0,2558,148,2,0,0,may 5
31,admin.,single,secondary,0,1,0,98,196,2,0,0,may 5
55,management,single,tertiary,0,0,0,115,111,4,0,0,may 5
40,blue-collar,single,secondary,0,1,0,436,231,3,0,0,may 5
47,technician,married,tertiary,0,1,0,831,316,3,0,0,may 5
41,blue-collar,married,secondary,0,1,0,290,240,2,0,0,may 5
48,blue-collar,married,secondary,0,0,0,1,669,3,0,0,may 5
30,blue-collar,single,secondary,0,1,0,-457,143,2,0,0,may 5
58,management,single,tertiary,0,1,0,1387,174,5,0,0,may 5
45,management,divorced,tertiary,0,1,0,24598,313,3,0,0,may 5
49,blue-collar,married,secondary,0,1,0,30,135,4,0,0,may 5
42,admin.,single,secondary,0,1,0,1022,146,2,0,0,may 5
53,technician,married,secondary,0,1,1,56,152,2,0,0,may 5
51,admin.,single,secondary,1,0,0,-2,402,3,0,0,may 5
32,services,single,secondary,0,1,0,121,213,2,0,0,may 5
41,blue-collar,single,secondary,0,1,0,842,144,3,0,0,may 5
43,management,divorced,secondary,0,1,0,693,124,3,0,0,may 5
40,blue-collar,divorced,secondary,0,1,0,-333,183,2,0,0,may 5
50,blue-collar,married,primary,0,1,0,1533,325,2,0,0,may 5
34,management,married,tertiary,0,1,0,46,39,4,0,0,may 5
45,technician,married,secondary,0,1,0,44,95,4,0,0,may 5
39,blue-collar,married,primary,0,1,0,-100,680,2,0,0,may 5
44,services,married,tertiary,0,1,0,510,421,4,0,0,may 5
55,management,married,tertiary,0,1,0,685,174,3,0,0,may 5
46,management,single,tertiary,0,1,0,187,113,2,0,0,may 5
45,blue-collar,married,secondary,0,1,0,66,808,2,0,0,may 5
34,admin.,married,secondary,0,1,0,560,198,3,0,0,may 5
36,blue-collar,married,secondary,0,1,0,0,195,2,0,0,may 5
31,admin.,single,secondary,0,1,0,12,208,2,0,0,may 5
44,blue-collar,single,secondary,0,1,0,34,404,4,0,0,may 5
33,entrepreneur,single,tertiary,0,1,0,1068,396,2,0,0,may 5
40,blue-collar,married,secondary,0,1,0,211,216,4,0,0,may 5
46,admin.,single,tertiary,0,1,0,377,98,2,0,0,may 5
48,management,married,tertiary,0,1,0,263,350,2,0,0,may 5
42,services,married,secondary,0,1,0,1263,114,2,0,0,may 6
27,services,married,secondary,0,1,0,8,88,3,0,0,may 6
48,admin.,married,secondary,0,1,1,126,379,2,0,0,may 6
59,admin.,married,secondary,0,1,0,230,190,3,0,0,may 6
46,technician,married,tertiary,0,1,0,841,158,1,0,0,may 6
38,admin.,divorced,secondary,0,1,0,308,102,1,0,0,may 6
43,management,divorced,tertiary,0,1,0,1,306,1,0,0,may 6
38,admin.,divorced,tertiary,0,1,0,86,218,1,0,0,may 6
23,student,single,secondary,0,1,0,157,54,1,0,0,may 6
34,services,married,secondary,0,1,0,22,344,1,0,0,may 6
38,admin.,married,secondary,0,1,1,46,195,1,0,0,may 6
37,blue-collar,married,secondary,0,0,0,1293,652,1,0,0,may 6
25,admin.,single,secondary,0,1,0,122,286,1,0,0,may 6
49,blue-collar,single,secondary,0,1,0,143,83,1,0,0,may 6
38,admin.,single,secondary,0,0,0,393,184,2,0,0,may 6
43,blue-collar,married,primary,0,1,0,98,235,1,0,0,may 6
33,management,married,tertiary,0,1,0,0,290,1,0,0,may 6
55,blue-collar,married,secondary,0,1,0,224,232,1,0,0,may 6
38,blue-collar,married,secondary,0,1,0,757,133,1,0,0,may 6
49,services,married,secondary,0,1,1,245,318,1,0,0,may 6
40,management,married,secondary,0,0,0,8486,260,3,0,0,may 6
38,blue-collar,married,secondary,0,1,0,20,402,1,0,0,may 6
58,services,married,secondary,0,1,1,1667,85,1,0,0,may 6
32,unemployed,married,secondary,0,1,0,10,501,4,0,0,may 6
56,management,married,tertiary,0,1,1,830,1201,1,0,1,may 6
60,retired,divorced,secondary,0,1,0,545,1030,1,0,1,may 6
37,technician,married,tertiary,0,1,0,8730,149,1,0,0,may 6
46,technician,divorced,tertiary,0,1,0,477,114,1,0,0,may 6
27,admin.,married,secondary,0,1,0,4,243,1,0,0,may 6
43,blue-collar,married,secondary,0,1,0,1205,769,2,0,0,may 6
32,technician,single,secondary,0,1,1,0,135,3,0,0,may 6
40,admin.,single,secondary,0,1,0,263,231,1,0,0,may 6
38,admin.,married,secondary,0,0,0,1,76,1,0,0,may 6
34,blue-collar,married,secondary,0,0,1,283,199,1,0,0,may 6
47,blue-collar,married,primary,0,1,0,206,152,1,0,0,may 6
42,housemaid,married,primary,0,1,0,17,124,1,0,0,may 6
48,technician,married,secondary,0,1,1,141,424,1,0,0,may 6
29,self-employed,single,tertiary,0,1,0,16,43,1,0,0,may 6
50,services,married,secondary,0,1,0,206,154,1,0,0,may 6
50,management,married,tertiary,0,0,0,0,326,1,0,0,may 6
58,retired,married,tertiary,0,0,0,0,393,1,0,0,may 6
46,blue-collar,divorced,primary,0,1,0,1927,241,3,0,0,may 6
38,technician,married,secondary,0,1,0,284,483,1,0,0,may 6
46,blue-collar,married,secondary,0,1,0,1660,259,1,0,0,may 6
32,services,single,secondary,0,1,0,406,227,1,0,0,may 6
51,blue-collar,married,primary,0,1,0,230,673,1,0,0,may 6
39,admin.,single,secondary,0,1,0,-25,576,1,0,0,may 6
48,admin.,married,secondary,0,1,0,182,180,2,0,0,may 6
36,entrepreneur,married,tertiary,0,1,0,1169,168,2,0,0,may 6
34,admin.,divorced,secondary,0,1,0,67,90,1,0,0,may 6
40,technician,married,secondary,0,0,0,77,505,1,0,0,may 6
43,unemployed,married,secondary,0,1,0,0,245,1,0,0,may 6
52,blue-collar,divorced,primary,0,1,1,55,186,1,0,0,may 6
33,technician,married,secondary,1,1,0,72,623,1,0,0,may 6
49,management,single,tertiary,0,1,0,163,496,3,0,0,may 6
32,management,single,tertiary,0,1,0,151,118,1,0,0,may 6
39,admin.,single,secondary,0,1,0,113,342,1,0,0,may 6
40,blue-collar,married,secondary,0,1,0,0,225,1,0,0,may 6
38,technician,single,tertiary,0,1,0,9,185,3,0,0,may 6
43,management,married,secondary,0,1,0,375,196,2,0,0,may 6
39,services,married,secondary,0,1,0,1142,276,1,0,0,may 6
54,blue-collar,married,primary,0,1,0,2102,76,1,0,0,may 6
38,technician,single,tertiary,0,1,0,4325,87,1,0,0,may 6
40,blue-collar,married,secondary,0,1,0,217,195,1,0,0,may 6
55,admin.,married,secondary,0,1,0,131,744,1,0,0,may 6
42,management,married,tertiary,0,1,0,1680,765,1,0,0,may 6
39,blue-collar,married,secondary,0,1,0,0,262,1,0,0,may 6
40,blue-collar,married,primary,0,1,0,46,119,1,0,0,may 6
32,blue-collar,married,secondary,0,1,0,320,198,2,0,0,may 6
55,admin.,married,secondary,0,1,0,183,150,1,0,0,may 6
45,blue-collar,married,secondary,0,0,0,39,241,1,0,0,may 6
35,management,single,tertiary,0,1,0,560,181,1,0,0,may 6
58,technician,divorced,secondary,0,0,0,469,196,1,0,0,may 6
35,admin.,married,secondary,0,1,0,530,149,1,0,0,may 6
49,services,married,primary,0,1,0,61,246,1,0,0,may 6
34,technician,single,tertiary,0,1,0,242,112,1,0,0,may 6
36,blue-collar,married,secondary,0,1,0,139,309,2,0,0,may 6
24,self-employed,single,secondary,0,1,0,0,278,1,0,0,may 6
34,technician,married,secondary,0,1,0,367,140,1,0,0,may 6
51,admin.,divorced,secondary,0,1,0,228,136,1,0,0,may 6
32,services,single,secondary,0,1,0,310,144,1,0,0,may 6
50,technician,married,secondary,0,1,0,797,354,1,0,0,may 6
40,services,married,secondary,0,0,0,71,79,1,0,0,may 6
37,management,married,tertiary,0,1,1,231,451,2,0,0,may 6
34,blue-collar,married,secondary,0,1,1,270,159,1,0,0,may 6
44,blue-collar,married,secondary,0,1,1,274,409,1,0,0,may 6
40,admin.,single,secondary,0,1,1,-109,170,1,0,0,may 6
37,technician,married,secondary,0,1,0,1,608,1,0,1,may 6
33,blue-collar,single,secondary,1,0,0,-60,243,1,0,0,may 6
35,blue-collar,married,secondary,0,1,0,89,145,2,0,0,may 6
58,blue-collar,divorced,secondary,0,0,0,-11,112,1,0,0,may 6
39,blue-collar,married,primary,0,1,0,0,262,2,0,0,may 6
43,blue-collar,married,secondary,0,1,0,-509,124,1,0,0,may 6
39,unemployed,married,primary,0,1,0,408,53,1,0,0,may 6
36,services,single,primary,0,1,0,58,134,1,0,0,may 6
57,retired,single,secondary,0,0,1,1640,204,4,0,0,may 6
36,admin.,single,secondary,0,1,0,20,186,1,0,0,may 6
50,blue-collar,married,primary,0,1,0,71,678,1,0,0,may 6
55,blue-collar,married,secondary,0,1,0,52,182,1,0,0,may 6
44,self-employed,married,tertiary,0,1,0,292,162,1,0,0,may 6
44,services,divorced,secondary,0,1,0,424,27,1,0,0,may 6
39,housemaid,single,primary,0,1,0,109,699,3,0,0,may 6
39,blue-collar,married,secondary,0,1,0,983,97,1,0,0,may 6
34,admin.,married,secondary,0,0,0,869,1677,1,0,1,may 6
40,blue-collar,married,primary,0,1,0,668,283,2,0,0,may 6
50,management,married,tertiary,0,1,0,964,323,1,0,0,may 6
31,management,single,secondary,0,1,0,301,82,1,0,0,may 6
