,Impact_Level,Weight,Deceased,Avail_Airbag,Seat_Belt,Front_Impact,Sex,Age,Acc_Year,Veh_Year,Role,Airbag_Deploy,Injury_Severity,Impact_Speed
79,"[10,24]",0.00289140071368406,No,No,Yes,Yes,F,82,1997-01-01,1988-01-01,Driver,No,0,13.829761744455556
80,"[10,24]",0.00289140071368406,No,No,Yes,Yes,F,44,1997-01-01,1988-01-01,Passenger,No,1,23.596531249666846
81,"[10,24]",0.006239864956244095,No,Yes,Yes,No,F,23,1997-01-01,1994-01-01,Driver,No,0,12.782718639511005
82,"[55,inf]",0.0004680706539947824,Yes,No,Yes,Yes,M,67,1997-01-01,1992-01-01,Driver,No,4,59.24151623195729
83,"[55,inf]",0.0004680706539947824,Yes,No,Yes,Yes,F,64,1997-01-01,1992-01-01,Passenger,No,4,55.493564157794715
84,"[40,54]",0.0004680706539947824,No,No,Yes,Yes,M,65,1997-01-01,1991-01-01,Driver,No,3,46.047774405038616
85,"[10,24]",0.0015846113132603678,No,No,Yes,No,F,42,1997-01-01,1988-01-01,Driver,No,1,15.927179353103126
86,"[10,24]",0.0015846113132603678,No,No,No,Yes,F,21,1997-01-01,1989-01-01,Driver,No,1,17.834100962752572
87,"[10,24]",0.0006805237214315198,No,Yes,Yes,Yes,F,46,1997-01-01,1996-01-01,Driver,Yes,1,15.356384236862349
88,"[10,24]",0.0006805237214315198,No,Yes,Yes,Yes,F,17,1997-01-01,1996-01-01,Passenger,Yes,1,18.134673181374435
89,"[10,24]",0.0006805237214315198,No,No,Yes,No,F,81,1997-01-01,1991-01-01,Driver,No,1,20.134335962451868
90,"[1,9]",0.0014526986075450129,No,Yes,Yes,No,M,50,1997-01-01,1992-01-01,Driver,No,0,5.67823620698427
91,"[55,inf]",0.0008910414701657718,No,No,Yes,No,M,33,1997-01-01,1991-01-01,Driver,No,3,67.9732217754307
92,"[40,54]",0.0008910414701657718,No,Yes,Yes,Yes,M,40,1997-01-01,1995-01-01,Driver,Yes,1,48.66954739461933
93,"[10,24]",0.0038426271398524833,No,Yes,Yes,Yes,M,23,1997-01-01,1995-01-01,Driver,No,1,13.868997129007521
94,"[10,24]",0.0015846113132603678,No,Yes,No,No,F,42,1997-01-01,1993-01-01,Driver,No,1,27.73100393610369
96,"[10,24]",0.003938822847571779,No,No,Yes,No,M,71,1997-01-01,1987-01-01,Driver,No,0,14.455353012442668
98,"[10,24]",0.0006486428015962067,No,No,No,No,F,20,1997-01-01,1989-01-01,Driver,No,1,10.528395316122221
99,"[10,24]",0.0017466251367960705,No,No,No,Yes,M,18,1997-01-01,1987-01-01,Driver,No,3,14.082869905981886
100,"[10,24]",0.0017466251367960705,No,No,No,Yes,M,26,1997-01-01,1987-01-01,Passenger,No,1,21.170265139274743
107,"[10,24]",0.006947414021058335,No,No,Yes,Yes,F,18,1997-01-01,1990-01-01,Driver,No,1,13.923588221261948
108,"[10,24]",0.006947414021058335,No,No,No,Yes,F,20,1997-01-01,1990-01-01,Passenger,No,1,17.27564805075012
109,"[10,24]",0.0004333558746122939,No,No,Yes,Yes,M,23,1997-01-01,1993-01-01,Driver,No,1,18.44254774121197
110,"[25,39]",0.0005076410097817478,No,Yes,No,Yes,M,26,1997-01-01,1992-01-01,Driver,Yes,3,37.00954096190911
111,"[25,39]",0.0005076410097817478,No,No,No,Yes,M,55,1997-01-01,1992-01-01,Passenger,No,1,28.325234868656462
112,"[10,24]",0.0021889664197186315,No,No,Yes,No,F,37,1997-01-01,1988-01-01,Driver,No,0,14.213890311269907
113,"[10,24]",0.0021889664197186315,No,Yes,No,Yes,F,50,1997-01-01,1996-01-01,Driver,Yes,1,13.943446679905298
115,"[10,24]",0.0015846113132603678,No,No,Yes,Yes,M,75,1997-01-01,1987-01-01,Driver,No,0,14.99445488448664
116,"[10,24]",0.000534908268054921,No,Yes,Yes,Yes,F,57,1997-01-01,1995-01-01,Driver,Yes,1,24.211274529733068
117,"[10,24]",0.003522798443211365,No,No,Yes,Yes,F,17,1997-01-01,1989-01-01,Driver,No,0,13.911141384265775
118,"[10,24]",0.003522798443211365,No,No,Yes,Yes,F,17,1997-01-01,1989-01-01,Passenger,No,0,20.998214233164106
119,"[10,24]",0.0006486428015962067,No,Yes,Yes,Yes,F,50,1997-01-01,1995-01-01,Driver,Yes,3,24.097148085667893
120,"[40,54]",0.0004333558746122939,No,No,No,No,F,77,1997-01-01,1989-01-01,Driver,No,3,40.09616781847768
121,"[55,inf]",0.0070627901195974545,No,Yes,No,Yes,M,22,1997-01-01,1994-01-01,Driver,Yes,2,66.804035320396
122,"[10,24]",0.0004333558746122939,No,No,Yes,No,M,53,1997-01-01,1991-01-01,Driver,No,3,19.163216518384964
123,"[10,24]",0.006972953316194948,No,Yes,Yes,No,M,42,1997-01-01,1991-01-01,Driver,Yes,2,23.43503297375518
124,"[10,24]",0.006972953316194948,No,No,Yes,No,M,42,1997-01-01,1991-01-01,Passenger,No,0,18.453543277490784
125,"[40,54]",0.0006486428015962067,No,No,Yes,Yes,M,20,1997-01-01,1987-01-01,Driver,No,3,45.77162721002206
126,"[40,54]",0.0006486428015962067,No,Yes,Yes,Yes,F,43,1997-01-01,1997-01-01,Driver,Yes,3,47.748483366017126
129,"[25,39]",0.0004333558746122939,No,Yes,No,Yes,F,30,1997-01-01,1992-01-01,Driver,Yes,1,30.21764128681286
130,"[10,24]",0.009912045812428077,No,No,Yes,Yes,F,61,1997-01-01,1993-01-01,Driver,No,1,13.954052865340657
133,"[25,39]",0.0017318164927322564,No,Yes,Yes,No,M,31,1997-01-01,1996-01-01,Driver,No,5,36.91411446312637
134,"[25,39]",0.0017318164927322564,No,Yes,No,No,F,25,1997-01-01,1996-01-01,Passenger,No,5,24.2736378603788
136,"[10,24]",0.0014526986075450129,No,No,No,No,F,46,1997-01-01,1987-01-01,Driver,No,1,16.527444493898255
137,"[10,24]",0.0014340366056862703,No,Yes,Yes,Yes,F,30,1997-01-01,1993-01-01,Driver,Yes,3,14.475484504824397
138,"[10,24]",0.005683633623080658,No,No,Yes,No,M,16,1997-01-01,1991-01-01,Driver,No,3,13.996088614482256
139,"[10,24]",0.005683633623080658,No,No,Yes,No,F,16,1997-01-01,1991-01-01,Passenger,No,2,17.40697632432157
140,"[25,39]",0.00047379021197156197,No,No,Yes,Yes,M,58,1997-01-01,1992-01-01,Driver,No,3,24.260098850401665
141,"[10,24]",0.00047379021197156197,No,No,Yes,Yes,F,18,1997-01-01,1987-01-01,Driver,No,1,13.103237872360411
142,"[10,24]",0.0004333558746122939,No,No,Yes,No,M,21,1997-01-01,1992-01-01,Driver,No,3,11.347927522553382
143,"[10,24]",0.0004333558746122939,No,No,Yes,No,F,17,1997-01-01,1992-01-01,Passenger,No,3,12.29995150461043
145,"[10,24]",0.0027338623146933674,No,Yes,Yes,Yes,F,72,1997-01-01,1994-01-01,Driver,Yes,2,25.004655408749358
146,"[10,24]",0.0027338623146933674,No,Yes,Yes,Yes,M,71,1997-01-01,1994-01-01,Passenger,Yes,1,19.071294333802456
147,"[10,24]",0.018008434360849104,No,No,Yes,Yes,F,74,1997-01-01,1988-01-01,Driver,No,1,17.371157714650238
149,"[10,24]",0.001866632176523467,No,No,Yes,Yes,M,54,1997-01-01,1987-01-01,Driver,No,1,19.146918457671234
150,"[10,24]",0.001866632176523467,No,No,Yes,Yes,F,61,1997-01-01,1987-01-01,Passenger,No,1,19.329508574641633
152,"[10,24]",0.0022160608816741254,No,No,Yes,Yes,M,17,1997-01-01,1988-01-01,Driver,No,0,15.21563531239945
153,"[10,24]",0.0022160608816741254,No,No,Yes,Yes,F,17,1997-01-01,1988-01-01,Passenger,No,1,16.859496669388644
154,"[10,24]",0.0007662306929243743,No,Yes,Yes,Yes,M,67,1997-01-01,1997-01-01,Driver,Yes,1,18.167880782601518
155,"[10,24]",0.0007662306929243743,No,Yes,Yes,Yes,F,66,1997-01-01,1997-01-01,Passenger,Yes,1,14.35059363614397
157,"[10,24]",0.0016356726238994145,No,No,Yes,Yes,M,29,1997-01-01,1988-01-01,Driver,No,1,22.45605021702901
164,"[25,39]",0.00044066515867229375,No,No,Yes,Yes,M,63,1997-01-01,1988-01-01,Driver,No,1,25.86115581006705
165,"[25,39]",0.00044066515867229375,No,No,Yes,Yes,F,51,1997-01-01,1988-01-01,Passenger,No,3,27.335238128913193
166,"[10,24]",0.007814920633326864,No,Yes,Yes,Yes,F,21,1997-01-01,1992-01-01,Driver,Yes,2,22.994026100832322
167,"[25,39]",0.007814920633326864,No,No,No,Yes,F,20,1997-01-01,1991-01-01,Driver,No,3,31.045438357429667
168,"[10,24]",0.040118085544749965,No,Yes,Yes,Yes,F,21,1997-01-01,1996-01-01,Driver,Yes,2,21.23798873465397
169,"[10,24]",0.040118085544749965,No,No,Yes,Yes,M,26,1997-01-01,1996-01-01,Passenger,No,0,18.4293478052719
172,"[10,24]",0.004468339870635165,No,No,No,No,F,44,1997-01-01,1989-01-01,Driver,No,2,15.715568011207193
173,"[10,24]",0.004468339870635165,No,No,No,No,F,30,1997-01-01,1989-01-01,Passenger,No,0,17.900700335625327
174,"[10,24]",0.001298011347695445,No,No,No,No,M,43,1997-01-01,1995-01-01,Driver,No,1,11.302130012524177
175,"[10,24]",0.01388995518607817,No,No,No,Yes,M,38,1997-01-01,1988-01-01,Driver,No,1,15.658988652422883
177,"[40,54]",0.003040230178495463,No,No,Yes,Yes,M,36,1997-01-01,1988-01-01,Driver,No,0,47.970639408680874
179,"[10,24]",0.002728090917810019,No,Yes,Yes,Yes,F,32,1997-01-01,1996-01-01,Driver,No,0,14.582493909498893
180,"[10,24]",0.002728090917810019,No,Yes,Yes,Yes,F,26,1997-01-01,1996-01-01,Passenger,No,0,13.369237010743227
181,"[25,39]",0.00018058942723343351,No,Yes,Yes,Yes,F,36,1997-01-01,1996-01-01,Driver,No,1,30.165785359635112
183,"[10,24]",0.00039546164306336504,No,No,Yes,Yes,M,26,1997-01-01,1987-01-01,Driver,No,1,19.641364456990182
184,"[25,39]",0.00039546164306336504,No,No,Yes,Yes,M,28,1997-01-01,1988-01-01,Driver,No,1,27.4622922590693
186,"[1,9]",0.001417085287337951,No,Yes,Yes,No,M,49,1997-01-01,1992-01-01,Driver,No,1,5.926897715342774
187,"[10,24]",0.001245705903604513,No,No,No,Yes,M,39,1997-01-01,1994-01-01,Driver,No,1,10.226362986512845
188,"[25,39]",0.0037965596426873457,No,No,Yes,Yes,F,35,1997-01-01,1992-01-01,Driver,No,1,36.60045844409134
189,"[25,39]",0.003927401011244355,No,No,Yes,Yes,M,38,1997-01-01,1990-01-01,Driver,No,1,31.72970661068034
190,"[25,39]",0.0005305538009532066,No,No,Yes,Yes,F,38,1997-01-01,1987-01-01,Driver,No,3,37.788603189056516
191,"[25,39]",0.0005305538009532066,No,No,Yes,Yes,M,61,1997-01-01,1987-01-01,Passenger,No,0,28.442255718258103
192,"[25,39]",0.0010932649958445414,No,Yes,Yes,Yes,M,19,1997-01-01,1996-01-01,Driver,Yes,1,25.569998276446036
193,"[10,24]",0.00016847640565742104,No,Yes,No,Yes,M,22,1997-01-01,1997-01-01,Driver,Yes,1,23.706805110638054
198,"[10,24]",0.004186405405542974,No,No,No,Yes,M,31,1997-01-01,1989-01-01,Driver,No,1,14.502997897483052
199,"[10,24]",0.004186405405542974,No,No,No,Yes,M,31,1997-01-01,1989-01-01,Passenger,No,1,13.694126130708723
200,"[10,24]",0.0004851947686607807,No,Yes,No,No,M,78,1997-01-01,1993-01-01,Driver,Yes,1,24.79785326444241
201,"[10,24]",0.00017702982317534087,No,Yes,No,Yes,M,28,1997-01-01,1994-01-01,Driver,No,3,18.273324479512315
202,"[10,24]",0.0011602926858444713,No,Yes,Yes,No,M,22,1997-01-01,1995-01-01,Driver,No,1,18.673192379793605
203,"[10,24]",0.0011602926858444713,No,Yes,Yes,No,F,70,1997-01-01,1995-01-01,Passenger,No,2,13.414060974386231
204,"[10,24]",0.0011602926858444713,No,No,No,Yes,M,66,1997-01-01,1989-01-01,Driver,No,3,12.572815388158556
205,"[1,9]",0.016411295314886745,No,No,Yes,No,M,43,1997-01-01,1990-01-01,Driver,No,0,4.6400083259255025
207,"[10,24]",0.0004868708929028404,No,No,Yes,No,F,39,1997-01-01,1992-01-01,Driver,No,1,18.955713631207953
208,"[10,24]",0.0004868708929028404,No,No,Yes,Yes,F,17,1997-01-01,1993-01-01,Driver,No,3,17.638736705094132
209,"[10,24]",0.0004868708929028404,No,No,No,Yes,F,18,1997-01-01,1993-01-01,Passenger,No,3,15.461602071722528
210,"[25,39]",0.0020993888107966666,No,Yes,Yes,No,F,77,1997-01-01,1995-01-01,Driver,No,1,33.30894448201148
211,"[10,24]",0.004481904381247093,No,No,No,Yes,F,30,1997-01-01,1993-01-01,Driver,No,1,21.948281787980218
212,"[10,24]",0.004481904381247093,No,No,Yes,No,F,22,1997-01-01,1990-01-01,Driver,No,1,15.573519432053565
213,"[40,54]",0.005836420123475988,No,Yes,Yes,Yes,M,56,1997-01-01,1991-01-01,Driver,Yes,1,43.708691031477464
214,"[25,39]",0.003889886931583055,No,No,No,Yes,M,17,1997-01-01,1987-01-01,Driver,No,3,25.456206457947815
215,"[25,39]",0.003889886931583055,No,No,No,Yes,M,17,1997-01-01,1987-01-01,Passenger,No,1,33.45132496494519
216,"[10,24]",0.030273188379781046,No,No,No,Yes,M,19,1997-01-01,1987-01-01,Driver,No,1,16.194975630427923
217,"[25,39]",0.0002741413513594256,No,Yes,Yes,Yes,M,84,1997-01-01,1993-01-01,Driver,Yes,3,32.07687412215344
218,"[25,39]",0.0005308129954216788,No,No,Yes,No,F,17,1997-01-01,1989-01-01,Driver,No,3,31.95328843668991
220,"[25,39]",0.00032755269186097394,No,Yes,Yes,Yes,M,87,1997-01-01,1995-01-01,Driver,Yes,4,28.444783693011196
221,"[10,24]",0.0022150413834183254,No,Yes,Yes,No,M,36,1997-01-01,1995-01-01,Driver,No,1,18.928332802263817
222,"[10,24]",0.0022150413834183254,No,Yes,Yes,Yes,M,68,1997-01-01,1994-01-01,Driver,Yes,1,23.59762277613924
223,"[10,24]",0.0022150413834183254,No,No,Yes,Yes,M,71,1997-01-01,1994-01-01,Passenger,No,1,8.521015545397967
224,"[10,24]",0.014590782474450916,No,No,Yes,Yes,F,40,1997-01-01,1991-01-01,Driver,No,0,14.300318269844047
225,"[10,24]",0.0003204680430051059,No,Yes,Yes,Yes,M,21,1997-01-01,1995-01-01,Driver,Yes,3,14.43375423006331
226,"[10,24]",0.0003204680430051059,No,No,Yes,Yes,F,81,1997-01-01,1993-01-01,Driver,No,3,22.285036251380443
227,"[25,39]",0.021886087313519625,No,No,Yes,Yes,M,54,1997-01-01,1991-01-01,Driver,No,0,34.62833384587811
228,"[25,39]",0.001981006056424877,No,Yes,Yes,Yes,F,22,1997-01-01,1996-01-01,Driver,Yes,1,32.453096706140705
229,"[25,39]",0.001981006056424877,No,No,Yes,Yes,M,52,1997-01-01,1988-01-01,Driver,No,2,36.059114615533524
230,"[10,24]",0.00289796697361103,No,Yes,Yes,No,F,60,1997-01-01,1997-01-01,Driver,No,1,14.402704228205291
231,"[1,9]",0.019089551775855463,No,No,Yes,No,F,18,1997-01-01,1989-01-01,Driver,No,0,7.232438185140973
232,"[25,39]",0.0003204680430051059,No,Yes,No,No,M,18,1997-01-01,1994-01-01,Driver,Yes,3,29.906097617759485
233,"[10,24]",0.0003204680430051059,No,Yes,Yes,Yes,F,79,1997-01-01,1994-01-01,Driver,Yes,3,7.301010717149731
234,"[10,24]",0.0003204680430051059,No,Yes,Yes,No,F,73,1997-01-01,1994-01-01,Driver,No,3,11.08743791320644
235,"[10,24]",0.0003204680430051059,No,Yes,Yes,No,F,72,1997-01-01,1994-01-01,Passenger,No,3,14.315828913914041
236,"[10,24]",0.00021414647131281822,No,No,Yes,Yes,F,51,1997-01-01,1988-01-01,Driver,No,3,13.31412185288199
237,"[10,24]",0.00021414647131281822,No,Yes,No,No,M,73,1997-01-01,1990-01-01,Driver,Yes,1,18.990643714927632
238,"[10,24]",0.00021414647131281822,No,No,No,No,F,56,1997-01-01,1990-01-01,Passenger,No,3,15.103175490874847
240,"[10,24]",0.0019310506421964463,No,Yes,Yes,No,F,23,1997-01-01,1992-01-01,Driver,No,0,22.344826953006148
242,"[10,24]",0.0017912757041996907,No,Yes,Yes,Yes,M,30,1997-01-01,1997-01-01,Driver,Yes,0,21.810420524057875
243,"[10,24]",0.0017912757041996907,No,No,No,Yes,F,25,1997-01-01,1997-01-01,Passenger,No,2,14.28059107553758
244,"[25,39]",0.0017912757041996907,No,No,No,Yes,F,56,1997-01-01,1988-01-01,Driver,No,2,32.3514304112989
245,"[10,24]",0.00021414647131281822,No,No,Yes,Yes,M,79,1997-01-01,1990-01-01,Driver,No,3,14.658245474923351
246,"[25,39]",0.0007138561303047611,No,Yes,Yes,Yes,F,24,1997-01-01,1994-01-01,Driver,Yes,1,32.34587864028965
247,"[25,39]",0.0007138561303047611,No,No,Yes,Yes,M,22,1997-01-01,1994-01-01,Passenger,No,1,29.42257732580731
248,"[55,inf]",0.001523856129438502,No,No,No,Yes,M,25,1997-01-01,1992-01-01,Driver,No,2,59.553831534261796
249,"[10,24]",0.004701597614251359,No,Yes,Yes,Yes,F,73,1997-01-01,1991-01-01,Driver,Yes,0,18.49551526552481
250,"[25,39]",0.027255421721895733,No,No,Yes,Yes,M,39,1997-01-01,1993-01-01,Driver,No,0,27.911405764289725
251,"[10,24]",0.0013198700813628567,No,Yes,Yes,Yes,F,39,1997-01-01,1995-01-01,Driver,Yes,2,19.194740334883555
252,"[10,24]",0.0013198700813628567,No,Yes,Yes,No,M,37,1997-01-01,1995-01-01,Driver,No,2,19.706539080083903
253,"[10,24]",0.0013198700813628567,No,No,Yes,Yes,F,74,1997-01-01,1991-01-01,Driver,No,0,14.710904847085944
254,"[10,24]",0.006080754110768155,No,Yes,Yes,No,M,77,1997-01-01,1996-01-01,Driver,No,0,19.837770434866748
255,"[10,24]",0.006080754110768155,No,Yes,Yes,No,F,76,1997-01-01,1996-01-01,Passenger,No,0,15.974510266799166
256,"[1,9]",0.006080754110768155,No,No,Yes,Yes,M,20,1997-01-01,1989-01-01,Driver,No,0,4.582309131225831
257,"[40,54]",0.00021414647131281822,No,No,Yes,Yes,F,24,1997-01-01,1987-01-01,Driver,No,3,47.073609771276026
258,"[25,39]",0.00021414647131281822,No,No,No,Yes,M,41,1997-01-01,1987-01-01,Driver,No,1,33.380715891862366
260,"[10,24]",0.00036897196820365495,No,Yes,Yes,Yes,M,19,1997-01-01,1995-01-01,Driver,Yes,3,17.98202323221551
261,"[10,24]",0.00036897196820365495,No,Yes,No,Yes,M,46,1997-01-01,1995-01-01,Driver,Yes,3,15.050955118412364
262,"[10,24]",0.00036897196820365495,No,Yes,No,Yes,M,86,1997-01-01,1995-01-01,Passenger,Yes,1,14.287044928172232
263,"[10,24]",0.00036897196820365495,No,Yes,Yes,No,M,62,1997-01-01,1992-01-01,Driver,Yes,0,16.14672670315907
265,"[25,39]",0.00023127058598082818,No,No,Yes,Yes,M,26,1997-01-01,1994-01-01,Driver,No,3,39.26210246532149
266,"[10,24]",0.0007753716179099311,No,Yes,Yes,Yes,M,78,1997-01-01,1996-01-01,Driver,Yes,1,14.499946913152762
268,"[10,24]",0.003571976274014263,No,Yes,Yes,Yes,M,47,1997-01-01,1991-01-01,Driver,Yes,2,16.420592078158176
269,"[10,24]",0.003571976274014263,No,No,Yes,Yes,F,44,1997-01-01,1991-01-01,Passenger,No,2,15.78759713576585
270,"[10,24]",0.003571976274014263,No,Yes,Yes,Yes,M,62,1997-01-01,1994-01-01,Driver,No,2,18.869452103618542
271,"[25,39]",0.0003204680430051059,No,Yes,Yes,No,F,50,1997-01-01,1994-01-01,Driver,No,3,36.10732924345943
272,"[25,39]",0.0003204680430051059,No,Yes,Yes,No,F,76,1997-01-01,1994-01-01,Passenger,No,3,33.62593692995782
273,"[10,24]",0.0003204680430051059,No,Yes,No,Yes,M,51,1997-01-01,1995-01-01,Driver,Yes,0,12.922903994975893
274,"[25,39]",0.00021414647131281822,No,No,Yes,No,F,17,1997-01-01,1989-01-01,Driver,No,3,31.92869471611819
275,"[25,39]",0.00021414647131281822,No,No,No,No,M,18,1997-01-01,1989-01-01,Passenger,No,0,18.694973222223922
